strategy,window/lead,,max,mean,median,min
AggregatedFutureStrategy,2,,6.1,3.4,3.4,1.9
AggregatedFutureStrategy,3,,6.1,3.0,2.2,1.3
AggregatedFutureStrategy,4,,6.1,3.1,3.0,1.2
AggregatedFutureStrategy,5,,6.1,3.1,2.1,1.1
AggregatedFutureStrategy,10,,6.2,1.6,1.6,1.0
AggregatedFutureStrategy,15,,5.9,1.6,1.7,0.8
AggregatedFutureStrategy,30,,6.2,1.6,1.6,0.8
AggregatedFutureStrategy,60,,6.3,1.7,1.7,0.6
AggregatedFutureStrategy,120,,9.3,6.0,6.0,0.6
FutureLookupStrategy,,5.9,,,,
NthValueStrategy,1,5.9,,,,
NthValueStrategy,2,1.9,,,,
NthValueStrategy,3,1.9,,,,
NthValueStrategy,4,1.7,,,,
NthValueStrategy,5,1.9,,,,
NthValueStrategy,10,1.7,,,,
NthValueStrategy,15,2.0,,,,
NthValueStrategy,30,3.1,,,,
NthValueStrategy,60,6.1,,,,
NthValueStrategy,120,8.3,,,,
