strategy,window/lead,,max,mean,median,min
AggregatedFutureStrategy,2,,1.28,1.34,1.34,1.31
AggregatedFutureStrategy,3,,1.28,1.38,1.37,1.31
AggregatedFutureStrategy,4,,1.28,1.4,1.39,1.3
AggregatedFutureStrategy,5,,1.28,1.42,1.4,1.29
AggregatedFutureStrategy,10,,1.25,1.43,1.43,1.25
AggregatedFutureStrategy,15,,1.23,1.42,1.4,1.22
AggregatedFutureStrategy,30,,1.18,1.37,1.36,1.17
AggregatedFutureStrategy,60,,1.14,1.29,1.3,1.12
AggregatedFutureStrategy,120,,1.09,1.22,1.23,1.08
FutureLookupStrategy,,1.25,,,,
NthValueStrategy,1,1.25,,,,
NthValueStrategy,2,1.38,,,,
NthValueStrategy,3,1.41,,,,
NthValueStrategy,4,1.42,,,,
NthValueStrategy,5,1.42,,,,
NthValueStrategy,10,1.38,,,,
NthValueStrategy,15,1.33,,,,
NthValueStrategy,30,1.23,,,,
NthValueStrategy,60,1.16,,,,
NthValueStrategy,120,1.11,,,,
