strategy,window/lead,,max,mean,median,min
AggregatedFutureStrategy,2,,1.0,1.5,1.5,1.9
AggregatedFutureStrategy,3,,0.9,1.6,1.6,2.2
AggregatedFutureStrategy,4,,0.9,1.7,1.7,2.3
AggregatedFutureStrategy,5,,0.8,1.8,1.7,2.5
AggregatedFutureStrategy,10,,0.7,1.8,1.8,3.0
AggregatedFutureStrategy,15,,0.6,1.8,1.7,3.2
AggregatedFutureStrategy,30,,0.5,1.6,1.6,3.6
AggregatedFutureStrategy,60,,0.4,1.3,1.3,4.0
AggregatedFutureStrategy,120,,0.2,1.0,1.0,4.2
FutureLookupStrategy,,1.1,,,,
NthValueStrategy,1,1.1,,,,
NthValueStrategy,2,1.6,,,,
NthValueStrategy,3,1.7,,,,
NthValueStrategy,4,1.8,,,,
NthValueStrategy,5,1.7,,,,
NthValueStrategy,10,1.6,,,,
NthValueStrategy,15,1.4,,,,
NthValueStrategy,30,1.1,,,,
NthValueStrategy,60,0.8,,,,
NthValueStrategy,120,0.5,,,,
