strategy,window/lead,,max,mean,median,min
AggregatedFutureStrategy,2,,2.7,3.3,3.3,3.0
AggregatedFutureStrategy,3,,2.8,3.7,3.6,3.0
AggregatedFutureStrategy,4,,2.7,3.9,3.8,2.9
AggregatedFutureStrategy,5,,2.7,4.1,3.9,2.8
AggregatedFutureStrategy,10,,2.5,4.2,4.1,2.5
AggregatedFutureStrategy,15,,2.2,4.1,3.9,2.2
AggregatedFutureStrategy,30,,1.8,3.6,3.5,1.7
AggregatedFutureStrategy,60,,1.3,2.9,2.9,1.2
AggregatedFutureStrategy,120,,0.9,2.1,2.2,0.8
FutureLookupStrategy,,2.5,,,,
NthValueStrategy,1,2.5,,,,
NthValueStrategy,2,3.7,,,,
NthValueStrategy,3,4.0,,,,
NthValueStrategy,4,4.1,,,,
NthValueStrategy,5,4.1,,,,
NthValueStrategy,10,3.7,,,,
NthValueStrategy,15,3.2,,,,
NthValueStrategy,30,2.3,,,,
NthValueStrategy,60,1.6,,,,
NthValueStrategy,120,1.1,,,,
